[2025-09-08 07:04:18,942][trainer][INFO] - Start Trainning (blocks #0)
[2025-09-08 07:12:56,620][trainer][INFO] - Epoch: 48/2000 ,time: 10.52 ,lr: 1.00e-03 ,train_mse: 0.00144  train_mse_bc: 0.00002 ,val_mse: 0.00171  val_mse_bc: 0.00003
[2025-09-08 07:13:07,157][trainer][INFO] - Epoch: 49/2000 ,time: 10.54 ,lr: 1.00e-03 ,train_mse: 0.00144  train_mse_bc: 0.00002 ,val_mse: 0.00171  val_mse_bc: 0.00003
[2025-09-08 07:13:17,683][trainer][INFO] - Epoch: 50/2000 ,time: 10.53 ,lr: 1.00e-03 ,train_mse: 0.00144  train_mse_bc: 0.00002 ,val_mse: 0.00171  val_mse_bc: 0.00003
[2025-09-08 07:13:28,226][trainer][INFO] - Epoch: 51/2000 ,time: 10.54 ,lr: 1.00e-03 ,train_mse: 0.00144  train_mse_bc: 0.00002 ,val_mse: 0.00171  val_mse_bc: 0.00003
[2025-09-08 07:13:38,755][trainer][INFO] - Epoch: 52/2000 ,time: 10.53 ,lr: 1.00e-03 ,train_mse: 0.00144  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:13:49,266][trainer][INFO] - Epoch: 53/2000 ,time: 10.51 ,lr: 1.00e-03 ,train_mse: 0.00144  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:13:59,820][trainer][INFO] - Epoch: 54/2000 ,time: 10.55 ,lr: 1.00e-03 ,train_mse: 0.00144  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:14:10,356][trainer][INFO] - Epoch: 55/2000 ,time: 10.54 ,lr: 1.00e-03 ,train_mse: 0.00144  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:14:20,887][trainer][INFO] - Epoch: 56/2000 ,time: 10.53 ,lr: 1.00e-03 ,train_mse: 0.00144  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:14:31,518][trainer][INFO] - Epoch: 57/2000 ,time: 10.63 ,lr: 1.00e-03 ,train_mse: 0.00144  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:14:42,036][trainer][INFO] - Epoch: 58/2000 ,time: 10.52 ,lr: 1.00e-03 ,train_mse: 0.00144  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:14:52,594][trainer][INFO] - Epoch: 59/2000 ,time: 10.56 ,lr: 1.00e-03 ,train_mse: 0.00144  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:15:03,117][trainer][INFO] - Epoch: 60/2000 ,time: 10.52 ,lr: 1.00e-03 ,train_mse: 0.00144  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:15:13,641][trainer][INFO] - Epoch: 61/2000 ,time: 10.52 ,lr: 1.00e-03 ,train_mse: 0.00144  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:15:24,198][trainer][INFO] - Epoch: 62/2000 ,time: 10.56 ,lr: 1.00e-03 ,train_mse: 0.00144  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:15:34,702][trainer][INFO] - Epoch: 63/2000 ,time: 10.50 ,lr: 1.00e-03 ,train_mse: 0.00144  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:15:45,215][trainer][INFO] - Epoch: 64/2000 ,time: 10.51 ,lr: 1.00e-03 ,train_mse: 0.00145  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:15:55,710][trainer][INFO] - Epoch: 65/2000 ,time: 10.49 ,lr: 1.00e-03 ,train_mse: 0.00145  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:16:06,303][trainer][INFO] - Epoch: 66/2000 ,time: 10.59 ,lr: 1.00e-03 ,train_mse: 0.00145  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:16:16,991][trainer][INFO] - Epoch: 67/2000 ,time: 10.69 ,lr: 1.00e-03 ,train_mse: 0.00145  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:16:27,589][trainer][INFO] - Epoch: 68/2000 ,time: 10.60 ,lr: 1.00e-03 ,train_mse: 0.00145  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:16:38,105][trainer][INFO] - Epoch: 69/2000 ,time: 10.52 ,lr: 1.00e-03 ,train_mse: 0.00145  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:16:48,707][trainer][INFO] - Epoch: 70/2000 ,time: 10.60 ,lr: 1.00e-03 ,train_mse: 0.00145  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:16:59,298][trainer][INFO] - Epoch: 71/2000 ,time: 10.59 ,lr: 1.00e-03 ,train_mse: 0.00145  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:17:09,799][trainer][INFO] - Epoch: 72/2000 ,time: 10.50 ,lr: 1.00e-03 ,train_mse: 0.00145  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:17:20,333][trainer][INFO] - Epoch: 73/2000 ,time: 10.53 ,lr: 1.00e-03 ,train_mse: 0.00145  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:17:30,851][trainer][INFO] - Epoch: 74/2000 ,time: 10.52 ,lr: 1.00e-03 ,train_mse: 0.00145  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:17:41,416][trainer][INFO] - Epoch: 75/2000 ,time: 10.56 ,lr: 1.00e-03 ,train_mse: 0.00145  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:17:52,033][trainer][INFO] - Epoch: 76/2000 ,time: 10.62 ,lr: 1.00e-03 ,train_mse: 0.00145  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:18:02,569][trainer][INFO] - Epoch: 77/2000 ,time: 10.54 ,lr: 1.00e-03 ,train_mse: 0.00145  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:18:13,101][trainer][INFO] - Epoch: 78/2000 ,time: 10.53 ,lr: 1.00e-03 ,train_mse: 0.00145  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:18:23,659][trainer][INFO] - Epoch: 79/2000 ,time: 10.56 ,lr: 1.00e-03 ,train_mse: 0.00145  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:18:34,201][trainer][INFO] - Epoch: 80/2000 ,time: 10.54 ,lr: 1.00e-03 ,train_mse: 0.00145  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:18:44,738][trainer][INFO] - Epoch: 81/2000 ,time: 10.54 ,lr: 1.00e-03 ,train_mse: 0.00145  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:18:55,280][trainer][INFO] - Epoch: 82/2000 ,time: 10.54 ,lr: 1.00e-03 ,train_mse: 0.00145  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:19:05,832][trainer][INFO] - Epoch: 83/2000 ,time: 10.55 ,lr: 1.00e-03 ,train_mse: 0.00145  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:19:16,467][trainer][INFO] - Epoch: 84/2000 ,time: 10.64 ,lr: 1.00e-03 ,train_mse: 0.00145  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:19:27,033][trainer][INFO] - Epoch: 85/2000 ,time: 10.57 ,lr: 1.00e-03 ,train_mse: 0.00145  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:19:37,574][trainer][INFO] - Epoch: 86/2000 ,time: 10.54 ,lr: 1.00e-03 ,train_mse: 0.00145  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:19:48,107][trainer][INFO] - Epoch: 87/2000 ,time: 10.53 ,lr: 1.00e-03 ,train_mse: 0.00145  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:19:58,644][trainer][INFO] - Epoch: 88/2000 ,time: 10.54 ,lr: 1.00e-03 ,train_mse: 0.00145  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:20:09,267][trainer][INFO] - Epoch: 89/2000 ,time: 10.62 ,lr: 1.00e-03 ,train_mse: 0.00145  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:20:19,920][trainer][INFO] - Epoch: 90/2000 ,time: 10.65 ,lr: 1.00e-03 ,train_mse: 0.00145  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:20:30,465][trainer][INFO] - Epoch: 91/2000 ,time: 10.54 ,lr: 1.00e-03 ,train_mse: 0.00145  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:20:41,118][trainer][INFO] - Epoch: 92/2000 ,time: 10.65 ,lr: 1.00e-03 ,train_mse: 0.00145  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:20:51,720][trainer][INFO] - Epoch: 93/2000 ,time: 10.60 ,lr: 1.00e-03 ,train_mse: 0.00145  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:21:02,228][trainer][INFO] - Epoch: 94/2000 ,time: 10.51 ,lr: 1.00e-03 ,train_mse: 0.00145  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:21:12,800][trainer][INFO] - Epoch: 95/2000 ,time: 10.57 ,lr: 1.00e-03 ,train_mse: 0.00145  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:21:23,336][trainer][INFO] - Epoch: 96/2000 ,time: 10.54 ,lr: 1.00e-03 ,train_mse: 0.00145  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:21:33,827][trainer][INFO] - Epoch: 97/2000 ,time: 10.49 ,lr: 1.00e-03 ,train_mse: 0.00145  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:21:44,337][trainer][INFO] - Epoch: 98/2000 ,time: 10.51 ,lr: 1.00e-03 ,train_mse: 0.00145  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:21:54,926][trainer][INFO] - Epoch: 99/2000 ,time: 10.59 ,lr: 1.00e-03 ,train_mse: 0.00145  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:22:05,524][trainer][INFO] - Epoch: 100/2000 ,time: 10.60 ,lr: 1.00e-03 ,train_mse: 0.00145  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:22:16,061][trainer][INFO] - Epoch: 101/2000 ,time: 10.54 ,lr: 1.00e-03 ,train_mse: 0.00145  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
